id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-319,Academic English(3a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(3a) 1 1 (1) FL-319 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-31A,Academic English(3b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Academic English(3b) 1 1 (1) FL-31A 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-221,Literature in English(1a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Literature in English(1a) 1 1 (1) FL-221 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-222,Literature in English(1b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Literature in English(1b) 1 1 (1) FL-222 20 30 10 10 30,pdftotext_line,,department=環境創生学科; source_page=84
FL-223,Literature in English(2a),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Literature in English(2a) 1 1 (1) FL-223 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-224,Literature in English(2b),1,,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Literature in English(2b) 1 1 (1) FL-224 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-225,Global Culture(1a),1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Global Culture(1a) 1 1 (1) FL-225 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-226,英,1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,英 Global Culture(1b) 1 1 (1) FL-226 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-227,Global Culture(2a),1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,Global Culture(2a) 1 1 (1) FL-227 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
FL-228,Global Culture(2b),1,G,基礎科目,外国語科目,elective,curriculum,e69aa2716a5d0db78c4241f183a36f63.pdf,目 Global Culture(2b) 1 1 (1) FL-228 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=環境創生学科; source_page=84
