departmentId,sourceDepartment,campus,day,period,term,gradeYear,className,title,lectureCode,teacher,room,target,remarks,sourcePage,sourceFile,normalizedTitle
kikai_system,機シ,世田谷,火,2,前期前,1,IV-I,Reading and,saa122209,染谷 昌弘,11C,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期前,1,IV-J,Reading and,saa122210,小林 美文,12H,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期前,2,IV-J,熱力学(1)及び演習,saa122245,白鳥 英,1BN,対象[25-21],"対開講(火2,金2)",4,2026世田谷キャンパス前期.pdf,熱力学(1)及び演習
kikai_system,機シ,世田谷,火,2,前期後,1,IV-A,Reading and,sab122211,日高 正司,12J,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,1,IV-B,Reading and Writing(1b),sab122212,ヴァーラ内田 エイ ドリアン ミッシェ,12G,対象[26-26],,4,2026世田谷キャンパス前期.pdf,ReadingandWriting(1b)
kikai_system,機シ,世田谷,火,2,前期後,1,IV-C,Reading and,sab122213,秋間 聖代,12C,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,1,IV-D,Reading and,sab122214,水戸 俊介,12D,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,1,IV-E,Reading and,sab122215,佐竹 幸信,12A,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,1,IV-F,Reading and,sab122216,古谷 裕美,12E,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,1,IV-G,Reading and,sab122217,松本 淳子,12F,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,1,IV-H,Reading and,sab122218,鷹取 勇希,13K,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,1,IV-I,Reading and,sab122219,染谷 昌弘,11C,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,1,IV-J,Reading and,sab122220,小林 美文,12H,対象[26-26],,4,2026世田谷キャンパス前期.pdf,Readingand
kikai_system,機シ,世田谷,火,2,前期後,2,AB,微分方程式論,sab122246,田邊 顕一朗,12P,対象[25-17],"対開講(火2,金2)",4,2026世田谷キャンパス前期.pdf,微分方程式論
kikai_system,機シ,世田谷,火,2,前期後,2,CD,微分方程式論,sab122247,古田 公司,11A,対象[25-17],"対開講(火2,金2)",4,2026世田谷キャンパス前期.pdf,微分方程式論
kikai_system,機シ,世田谷,火,2,前期後,3,CD,計測工学,sab122243,田中 康寛,1BC,対象[24-17],"対開講(火2,金2)",4,2026世田谷キャンパス前期.pdf,計測工学
kikai_system,機シ,世田谷,火,3,前期前,1,CD,物理学実験(a),saa122308,門多 顕司 尼子 淳 室(62H) 金子 核 鈴木 ひろみ,物理学実験,対象[26-26],"対開講(火3,火4)",4,2026世田谷キャンパス前期.pdf,物理学実験(a)
kikai_system,機シ,世田谷,火,3,前期前,3,CD,ロボット制御プログラミ ング,saa122302,野中 謙一郎,22C,対象[24-17],"対開講(火3,金3)",4,2026世田谷キャンパス前期.pdf,ロボット制御プログラミング
kikai_system,機シ,世田谷,火,3,前期後,1,CD,物理学実験(b),sab122309,門多 顕司 尼子 淳 室(62H) 金子 核 鈴木 ひろみ,物理学実験,対象[26-26],"対開講(火3,火4)",4,2026世田谷キャンパス前期.pdf,物理学実験(b)
kikai_system,機シ,世田谷,火,3,前期後,2,SD,PBL(2),sab122301,宮坂 明宏 藪井 将太,13K,対象[25-20],"対開講(火3,金3)",4,2026世田谷キャンパス前期.pdf,PBL(2)
kikai_system,機シ,世田谷,火,3,前期後,3,SD,制御システム設計,sab122304,野中 謙一郎,22C,対象[24-17],"対開講(火3,金3)",4,2026世田谷キャンパス前期.pdf,制御システム設計
kikai_system,機シ,世田谷,火,4,前期前,1,SD,物理学実験(a),saa122308,門多 顕司 尼子 淳 室(62H) 金子 核 鈴木 ひろみ,物理学実験,対象[26-26],"対開講(火3,火4)",4,2026世田谷キャンパス前期.pdf,物理学実験(a)
kikai_system,機シ,世田谷,火,4,前期後,1,SD,物理学実験(b),sab122309,門多 顕司 尼子 淳 室(62H) 金子 核 鈴木 ひろみ,物理学実験,対象[26-26],"対開講(火3,火4)",5,2026世田谷キャンパス前期.pdf,物理学実験(b)
