id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
IF-331,情報の倫理,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,情報の倫理                           2                     2                   IF-331   20    20   0     40   20,pdf_curriculum_table,,source_key=media_informatics
IF-333,アカウンティングシステム,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,アカウンティングシステム                    2                         2               IF-333   0     0    0     0    100,pdf_curriculum_table,,source_key=media_informatics
IF-101,SD PBL(1),1,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,SD PBL(1)             ○         1   1                                     IF-101   30    10   30    10   20    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-201,SD PBL(2),1,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,SD PBL(2)             ○         1               1                         IF-201   20    10   20    30   20    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-304,SD PBL(3),1,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,SD PBL(3)             ○         1                         2               IF-304   9     24   24    24   19    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-121,プログラミング基礎演習Ａ,2,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,プログラミング基礎演習Ａ          ○         2   2                                     IF-121   45    10   25    0    20    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-122,アルゴリズムとプログラミング,2,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,アルゴリズムとプログラミング        ○         2   2                                     IF-122   45    10   25    0    20,pdf_curriculum_table,,source_key=media_informatics
IF-123,プログラミング基礎演習Ｂ,2,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,プログラミング基礎演習Ｂ          ○         2       2                                 IF-123   40    10   30    10   10    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-124,ソフトウエア開発技法,2,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,ソフトウエア開発技法            ○         2       2                                 IF-124   15    25   30    20   10,pdf_curriculum_table,,source_key=media_informatics
IF-221,プログラミング演習Ａ,2,△,専門分野,情報システム学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,プログラミング演習Ａ            △         2           2                             IF-221   20    14   14    0    52    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-222,プログラミング演習Ｂ,2,△,専門分野,情報システム学科科目,elective-required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,プログラミング演習Ｂ            △         2           2                             IF-222   21    14   30    9    26    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-223,システム開発演習Ａ,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,システム開発演習Ａ                       2               2                         IF-223   20    10   20    40   10    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-224,システム開発演習Ｂ,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,システム開発演習Ｂ                       2               2                         IF-224   16    10   24    24   26    （他学科履修不可）,pdf_curriculum_table,,source_key=media_informatics
IF-225,オブジェクト指向方法論,2,,専門分野,情報システム学科科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,オブジェクト指向方法論                     2               2                         IF-225   16    16   24    8    36,pdf_curriculum_table,,source_key=media_informatics
IF-141,情報数学,2,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,基   情報数学                  ○         2   2                                     IF-141   45    10   25    0    20,pdf_curriculum_table,,source_key=media_informatics
IF-142,コンピュータシステム,2,○,専門分野,情報システム学科科目,required,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,盤   コンピュータシステム            ○         2       2                                 IF-142   20    30   0     0    50,pdf_curriculum_table,,source_key=media_informatics
