id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-24J,中国語(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,外 中国語(2a) 1 1 (1) FL-24J 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
FL-24K,中国語(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,目 中国語(2b) 1 1 (1) FL-24K 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
FL-24L,アラビア語(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,科 アラビア語(1a) 1 1 (1) FL-24L 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24M,アラビア語(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,アラビア語(1b) 1 1 (1) FL-24M 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24N,アラビア語(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,アラビア語(2a) 1 1 (1) FL-24N 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24O,アラビア語(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,アラビア語(2b) 1 1 (1) FL-24O 20 30 10 10 30 ＳＣ開講,pdftotext_line,,department=情報システム学科; source_page=81
FL-24P,韓国語(1a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,韓国語(1a) 1 1 (1) FL-24P 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
FL-24Q,韓国語(1b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,韓国語(1b) 1 1 (1) FL-24Q 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
FL-24R,韓国語(2a),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,韓国語(2a) 1 1 (1) FL-24R 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
FL-24S,韓国語(2b),1,,基礎科目,外国語科目,elective,curriculum,36f4e4062d15fd6e4875f8e78bec3bd6.pdf,韓国語(2b) 1 1 (1) FL-24S 20 30 10 10 30,pdftotext_line,,department=情報システム学科; source_page=81
