id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
FL-112,English I-B,1,○,基礎科目,外国語科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,English I-B ○ 1 2 FL-112 20 30 10 10 30,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-113,English II-A,1,○,基礎科目,外国語科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,科 目 English II-A ○ 1 (2) 2 FL-113 20 30 10 10 30,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-114,English II-B,1,○,基礎科目,外国語科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,目 English II-B ○ 1 (2) 2 FL-114 20 30 10 10 30,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-115,English III-A,1,○,基礎科目,外国語科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,English III-A ○ 1 (2) (2) 2 FL-115 20 30 10 10 30,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-116,English III-B,1,○,基礎科目,外国語科目,required,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,English III-B ○ 1 (2) (2) 2 FL-116 20 30 10 10 30,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-211,Reading Comprehension,2,,基礎科目,外国語科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Reading Comprehension 2 (2) (2) 2 FL-211 20 30 20 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-212,Debate & Discussion,2,,基礎科目,外国語科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Debate & Discussion 2 (2) (2) 2 FL-212 20 25 20 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-213,Presentation Strategies,2,,基礎科目,外国語科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Presentation Strategies 2 (2) (2) 2 FL-213 20 30 20 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-214,English Test Preparation,2,,基礎科目,外国語科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,English Test Preparation 2 (2) (2) 2 FL-214 20 20 25 20 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
FL-215,Writing Strategies,2,,基礎科目,外国語科目,elective,curriculum,3db8dbc9a70710d1a1cf633fefc085e8.pdf,Writing Strategies 2 (2) (2) 2 FL-215 20 30 20 15 15,pdftotext_line,,department=デザイン・データ科学科; source_page=80
