id,title,credits,raw_required,category,group,courseType,source_key,source_file,source_line
LA-331,国際化と異文化理解(a),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,国際化と異文化理解(a)                Ｇ          1                                 1              LA-331   10     30   10   20   30
LA-332,国際化と異文化理解(b),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,国際化と異文化理解(b)                Ｇ          1                                 1              LA-332   10     30   10   20   30
LA-13F,日本文化の伝承(a),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,日本文化の伝承(a)                  Ｇ          1           1                                    LA-13F   10     30   10   10   40
LA-13G,日本文化の伝承(b),1,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,日本文化の伝承(b)                  Ｇ          1            1                                   LA-13G   10     30   10   10   40
LA-13H,日本文化論,2,G,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,目            日本文化論                       Ｇ          2     2     (2)                                  LA-13H   25     30   15   20   10
LA-145,データサイエンスリテラシー(1),1,※DS,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,データサイエンスリテラシー(1)            ※DS        1      2    (2)                                  LA-145   25     15   25   20   15
LA-241,データサイエンスリテラシー(2),1,※DS,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,データサイエンスリテラシー(2)            ※DS        1     (2)   2                                    LA-241   25     15   25   20   15
LA-141,論理学(1a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,報 自 論理学(1a)                                 1     1                                          LA-141   35     35    0   0    30
LA-142,論理学(1b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,科 然 論理学(1b)                                 1      1                                         LA-142   35     35    0   0    30
LA-143,論理学(2a),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,学 ・ 論理学(2a)                                 1           1                                    LA-143   35     35    0   0    30
LA-144,論理学(2b),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,論理学(2b)                                 1            1                                   LA-144   35     35    0   0    30
LA-243,生活とメディア,2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,生活とメディア                                2                 2                              LA-243   25     25   25   0    25
LA-951,ボランティア(1),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,ボランティア(1)                              1                                                LA-951   25     15   15   25   20
LA-952,ボランティア(2),1,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,ボランティア(2)                              1                                                LA-952   25     15   15   25   20
LA-953,教養ゼミナール(1),2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,そ   教養ゼミナール(1)                             2     2     (2)                                  LA-953   20     20   20   20   20
LA-954,教養ゼミナール(2),2,,共通分野,教養科目,elective,common_setagaya_engineering,afd7c5631753ad09f074370a0eaa9524.pdf,の   教養ゼミナール(2)                             2      2    (2)                                  LA-954   20     20   20   20   20
