departmentId,departmentName,facultyId,facultyName,id,title,credits,raw_required,category,group,courseType,sourceKind,sourceFile,sourceLine,sourceQuality,aliases,notes
kikai,機械工学科,rikou,理工学部,LA-12K,法学,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,法学                          2    2                                        LA-12K   25     25   25   0    25,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12L,民法,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,民法                          2         2                                   LA-12L   25     25   25   0    25,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12M,西洋経済史,2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,西洋経済史              Ｇ        2   (2)    2                                  LA-12M   20     30   0    20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12N,人文地理学(a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,人文地理学(a)                    1   1                                         LA-12N   30     10   20   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12O,人文地理学(b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,人文地理学(b)                    1    1                                        LA-12O   30     10   20   10   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-12P,現代中国論,2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,現代中国論              Ｇ        2         2                                   LA-12P   10     35   10   10   35,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-131,教育学(1a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,教育学(1a)                                1     1                                          LA-131   20     30    0   30   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-132,教育学(1b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,教育学(1b)                                1      1                                         LA-132   20     30    0   30   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-133,教育学(2a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,教育学(2a)                                1           1                                    LA-133   20     30    0   30   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-134,教育学(2b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,教育学(2b)                                1            1                                   LA-134   20     30    0   30   20   共通,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-135,スポーツ・健康論,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,スポーツ・健康論                               2     2     (2)                                  LA-135   40     20   30   0    10,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-136,心理学(1a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,心理学(1a)                                1     1                                          LA-136   10     50    0   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-137,心理学(1b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,心理学(1b)                                1      1                                         LA-137   10     50    0   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-138,心理学(2a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,間   心理学(2a)                                1           1                                    LA-138   10     50    0   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-139,心理学(2b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,科   心理学(2b)                                1            1                                   LA-139   10     50    0   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-13C,心理学入門,2,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,学   心理学入門                                  2     2                                          LA-13C   20     10   10   20   40,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-13D,社会とジェンダー(a),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,社会とジェンダー(a)                            1           1                                    LA-13D   20     20   20   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-13E,社会とジェンダー(b),1,,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,社会とジェンダー(b)                            1            1                                   LA-13E   20     20   20   20   20,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-331,国際化と異文化理解(a),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,国際化と異文化理解(a)                Ｇ          1                                 1              LA-331   10     30   10   20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-332,国際化と異文化理解(b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,国際化と異文化理解(b)                Ｇ          1                                 1              LA-332   10     30   10   20   30,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-13F,日本文化の伝承(a),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本文化の伝承(a)                  Ｇ          1           1                                    LA-13F   10     30   10   10   40,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-13G,日本文化の伝承(b),1,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,日本文化の伝承(b)                  Ｇ          1            1                                   LA-13G   10     30   10   10   40,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-13H,日本文化論,2,G,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,目            日本文化論                       Ｇ          2     2     (2)                                  LA-13H   25     30   15   20   10,pdf_curriculum_table,,source_key=common_setagaya_engineering
kikai,機械工学科,rikou,理工学部,LA-145,データサイエンスリテラシー(1),1,※DS,共通分野,教養科目,elective,curriculum,afd7c5631753ad09f074370a0eaa9524.pdf,データサイエンスリテラシー(1)            ※DS        1      2    (2)                                  LA-145   25     15   25   20   15,pdf_curriculum_table,,source_key=common_setagaya_engineering
